Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,1.47556,9778441,5668748,8522056,4562777
2,1.71349,8251312,4740009,7827524,4372248
3,0.3647,8199915,4922418,6741545,3529574
4,1.04501,9382546,5550456,7638847,4039156
5,1.07025,9147895,5371721,7440084,3930983
6,1.18421,9276696,5482390,8002975,4352629
7,1.33319,9782534,5658264,8523430,4551619
8,1.08233,9349147,5555113,7701063,4072144
9,1.17009,9675736,5204432,7964920,3659359
10,0.365131,8202290,4924397,6739971,3529089
11,1.05276,9357789,5533685,7700506,4104181
12,0.966092,9305938,4050056,7801725,2674016
13,1.06575,9154026,5376132,7451349,3938044
14,1.04078,9399332,5572593,7602155,3997357
15,1.06251,9147951,5369530,7431538,3921571
16,1.0804,9220752,3848349,7922075,2664103
17,1.07029,9145080,5368938,7429611,3929113
18,1.10829,9160964,5395804,7026759,3676716
19,1.05202,9139006,5364364,7421986,3919199
20,1.48146,9776079,5669142,8512400,4556580
21,1.00211,9316058,4099723,7807575,2722011
22,1.17653,9274962,5486920,8003107,4363795
23,1.12369,9360590,5566417,7714542,4084383
24,1.08433,9361899,5536178,7682070,4079172
25,1.11628,9383315,5586738,7728031,4085264
26,1.09507,9154605,5394859,7029773,3682281
27,1.06677,9147201,5369884,7432304,3923151
28,1.08603,9361213,5571364,7731070,4098375
29,1.09462,9169152,5406796,7036086,3683550
30,1.19671,9272877,5486674,8001997,4360487
31,1.08054,9360609,5565504,7716476,4083972
32,1.01728,9301720,4077783,7803445,2710277
33,1.17804,9274289,5484278,8005092,4359772
34,1.4315,8995453,5091986,8500518,4640491
35,1.11784,9393158,5584384,7758754,4104810
36,1.09811,9360838,5570155,7723312,4092186
37,1.18601,9275263,5486173,8008539,4362885
38,1.05225,9160852,5383210,7411224,3898781
39,1.05386,9336592,5511125,7771430,4165443
40,1.08863,9158277,5398247,7043017,3691535
41,1.00893,9293291,3979316,7843588,2656317
42,1.18557,9274770,5485682,8004406,4359966
43,1.17432,9680090,5206188,7970849,3662709
44,1.06557,9196493,3869392,7875281,2662519
45,1.05667,9190350,3842566,7881065,2647567
47,1.08775,9163369,5400575,7055794,3700760
48,1.00595,9289436,3978564,7840668,2656201
49,1.1833,9274446,5487567,8007141,4364261
50,1.11296,9370985,5576627,7744390,4104022
51,1.44497,9000961,5095204,8499408,4635017
52,1.05441,9370527,5544257,7660337,4059289
53,1.10054,9360001,5571084,7731888,4098196
54,1.04628,9380807,5559212,7612852,4026670
55,1.0864,9164533,5399853,7052269,3697917
56,1.06129,9206037,3908297,7854336,2670673
57,1.19995,9273767,5486655,8006863,4363686
58,0.355332,8258935,4922386,6719991,3482139
59,1.10558,9358830,5565762,7717653,4086187
60,1.18991,9273400,5486131,8006461,4362862
61,1.02365,9276070,4020990,7809604,2685685
62,1.10236,9156538,5393828,7022954,3677847
63,1.19695,9273431,5484802,8000319,4355435
