Trace,IPC,Loads,Stores,Load Misses,Store Misses
141,1.10964,9687977,5208341,7269059,2924486
142,0.800331,9361014,5564620,7503785,3881589
143,1.1255,9699383,5210873,7273181,2913788
144,0.787213,9412335,5590638,7536082,3885615
145,0.793899,9274465,5484583,7774131,4146996
146,0.803592,9275146,5483710,7769594,4140488
147,0.835564,9622967,4195623,7537175,2275429
148,0.777685,9379245,5575788,7510507,3882080
149,0.777925,9172333,5393289,7166462,3672657
150,0.751081,9418184,5587786,7388117,3796117
151,0.92981,9213399,3897984,7456304,2275027
152,0.840575,9151626,5370784,6569863,3341971
153,0.794856,9274388,5483237,7771704,4142950
154,0.855975,8504926,5042798,8005880,4609493
155,0.31663,8411645,4889385,6257352,2987123
156,0.762669,9360030,5568344,7488582,3878907
157,0.805522,9275296,5485881,7768681,4146386
158,0.744085,9326235,5499981,7516182,3940343
159,0.763227,9370320,5573421,7475659,3859673
160,0.942295,8526373,3429909,6369182,1475699
161,0.815608,9158381,5396568,6775376,3453305
162,0.934403,9220229,3849239,7529410,2293328
163,0.77305,9151678,5373355,7186571,3697214
164,0.835342,9002379,5094927,8371394,4509017
165,0.81829,9163349,5400238,6783357,3455469
166,0.79521,9274900,5484687,7772242,4144927
168,0.787674,9359059,5566567,7489540,3876064
169,0.748161,9342030,5513364,7503317,3927730
170,0.784787,9142362,5365161,7155661,3674228
171,0.925418,9185279,3822650,7477161,2248663
172,0.339553,8208994,4928415,6550699,3361567
173,0.772921,9147635,5370535,7182819,3699694
174,0.337642,8201353,4925595,6545119,3361428
175,1.10208,9695981,5211669,7266460,2915325
176,0.823859,9159356,5397465,6768536,3449138
178,0.781545,9141512,5366652,7175996,3692958
179,0.829471,8999495,5095629,8369407,4510598
180,0.934462,9223849,3858901,7524262,2294963
181,0.807706,9146131,5386412,6753000,3438713
182,0.751443,9385724,5550645,7406643,3823760
183,0.775795,9141325,5370027,7173837,3693524
184,0.826171,9273788,5483700,7770894,4143496
185,0.775576,9357819,5561262,7487356,3870230
186,0.760501,9389741,5562362,7404693,3823868
187,0.857055,9779500,5655514,8248661,4336165
188,0.90184,9766112,5668050,8224789,4340319
189,0.770563,9146322,5369046,7168298,3685192
190,0.776307,9143961,5369735,7174990,3692156
191,0.809344,9159882,5396524,6780198,3457170
192,0.779934,9148863,5370612,7181060,3692890
193,0.765495,9163297,5385188,7157940,3669094
194,0.649738,10575884,5273768,7288330,2287375
195,1.10659,9691166,5207928,7266076,2917437
196,0.767375,9357303,5524010,7446648,3873385
197,0.776402,9148160,5370419,7174652,3688590
198,1.11496,9696050,5210338,7269710,2917110
199,0.818222,9175688,5411998,6766525,3441065
200,1.1005,9691385,5209066,7264877,2916912
201,0.780744,9366679,5567711,7500343,3874505
202,0.757772,9374813,5549447,7415221,3837413
203,0.87548,9780209,5664251,8253779,4346939
204,0.751751,9395435,5572693,7381418,3800722
205,1.37692,7037007,4407849,4987147,2428320
206,0.760691,9374931,5580106,7487156,3867949
207,0.828918,9266370,4233385,7241865,2345549
208,0.766153,9360251,5534530,7470565,3891603
209,0.763463,9380723,5579994,7490487,3864328
210,0.896104,9776093,5668233,8247821,4349344
211,0.766238,9328260,5497237,7524934,3945760
212,0.766095,9135363,5361106,7142646,3667412
213,0.805016,9272703,5481479,7766610,4137489
214,0.87367,9779947,5663597,8251451,4343612
215,0.336327,8194824,4922206,6537429,3355946
216,0.784831,9359661,5568278,7488239,3873625
217,0.834209,9002042,5095524,8372544,4511031
218,0.760784,9404315,5581277,7390659,3806652
219,0.812567,9271688,5481288,7774111,4146399
220,0.765734,9372675,5579370,7525798,3900857
221,0.81353,9165611,5402949,6805228,3473647
222,0.870725,9290953,3984304,7493973,2320334
223,0.797368,9275940,5483473,7763849,4133792
224,0.919311,9221628,3918013,7499078,2333813
225,0.894753,9281980,4022585,7440551,2332063
226,0.801635,9273028,5484526,7766262,4140099
227,0.772693,9360757,5565363,7485880,3869638
228,0.920795,9184548,3831338,7512423,2298717
229,0.807789,9273904,5483661,7773660,4146105
230,0.761895,9422096,5591377,7381766,3791674
231,0.782169,9140744,5366853,7159502,3679768
232,0.817313,9160050,5397004,6771024,3450557
233,1.08329,9677353,5205896,7257686,2924314
234,0.761606,9746455,5654475,8244178,4357858
235,0.813422,9165922,5401333,6788550,3461093
236,0.804019,9275196,5484767,7774169,4146322
237,0.78072,9361628,5568598,7495646,3879985
238,0.9514,8426724,5155354,7648444,4459820
239,0.81362,9156099,5393880,6760526,3444200
240,0.829958,9150617,5387647,6732985,3424245
241,0.816722,9163075,5400244,6790014,3463190
242,0.340009,8200420,4922804,6546866,3360082
243,0.77785,9395113,5585514,7514347,3882768
244,0.830589,9275828,5483340,7758898,4133389
245,0.815568,9161576,5398999,6783711,3458303
246,0.81696,9274797,5484990,7763517,4140779
247,0.784906,9362342,5566590,7489207,3871473
248,0.775245,9164635,5383757,7169290,3676676
249,0.834235,9000432,5093837,8369582,4508196
250,0.779681,9144207,5367071,7161708,3679600
251,0.775311,9375755,5574903,7477793,3854830
252,0.756033,9315147,5492335,7528478,3955450
253,0.782939,9358846,5566508,7493533,3880080
254,0.804686,9274776,5486094,7779547,4153996
255,0.888524,9298693,4067387,7452263,2371722
256,0.794574,9362451,5567083,7505051,3885568
257,0.932594,9196696,3875555,7488826,2307919
258,0.815456,9162244,5397304,6780317,3455405
259,0.872857,9286654,3967882,7514409,2326827
260,0.80776,9275961,5484918,7772380,4143959
261,0.749153,9417400,5588807,7382672,3791388
262,0.33663,8193481,4921014,6543478,3361965
263,0.786546,9371880,5568755,7466185,3843754
264,0.805163,9275076,5482933,7763495,4133478
265,0.767269,9385966,5556536,7449267,3860087
266,0.778049,9414294,5591386,7525925,3878457
268,0.834756,9001451,5095987,8369937,4509815
269,0.797842,9274593,5486596,7776644,4151263
270,0.766827,9364730,5533287,7491880,3908405
271,0.770384,9151924,5371757,7182339,3692452
272,0.877508,9777761,5669732,8246210,4347279
273,0.822963,9271393,5483697,7774410,4153348
274,0.776794,9150102,5372105,7183782,3695890
275,0.894538,9774373,5668766,8240600,4345803
276,0.641481,10363444,5295843,6368824,1902113
277,0.750648,9390398,5569196,7405620,3827978
278,0.785115,9363580,5569328,7506717,3887186
279,0.337878,8211011,4929570,6540076,3350698
280,0.829384,9149183,5387904,6725150,3418530
281,1.09262,9678043,5204788,7264518,2926021
282,0.780586,9142388,5364476,7197241,3714005
283,0.938635,9230672,3863389,7529831,2296586
284,0.812299,9156261,5396064,6761668,3445612
285,0.765589,9393745,5557990,7453205,3855867
286,0.78309,9139110,5365449,7154353,3676029
287,0.67594,10396988,4893304,7539873,2245211
288,0.833932,9001309,5095061,8369303,4508340
289,0.821771,9155653,5392445,6744489,3433181
290,0.770758,9148993,5372003,7191908,3704260
291,0.810508,9162057,5397099,6780588,3455052
292,0.777119,9138906,5365137,7162157,3686912
293,0.932734,9190582,3836634,7475527,2255499
294,0.820497,9160258,5396223,6779302,3455162
295,0.754851,9418112,5589954,7387749,3799495
296,0.774884,9143921,5368283,7172191,3687096
297,1.08988,8418999,5289548,7479333,4475855
298,0.926179,9241033,3888589,7512767,2298129
299,0.81333,9170291,5404536,6797435,3465933
300,0.754143,9750001,5649253,8241610,4347439
301,0.841718,9331019,5514585,7102685,3586981
303,0.788233,9274652,5484652,7767837,4139693
304,0.767747,9383802,5556581,7359869,3790512
305,0.777375,9147900,5370037,7172198,3686922
306,0.804548,9272171,5479418,7765304,4134986
307,0.762372,9140397,5365082,7157037,3677499
308,0.85643,8504927,5042803,8005903,4609522
309,0.900688,9781736,5672772,8256303,4355585
310,0.849577,9779763,5655364,8249173,4335141
311,1.11463,9695217,5208867,7269880,2918108
312,0.762534,9326832,5498946,7545773,3966102
313,0.766204,9358009,5563436,7486930,3867243
314,0.338336,8187110,4916048,6538982,3358516
315,0.832988,9002343,5095391,8368702,4507217
316,0.814142,9274887,5483702,7764389,4135462
317,0.768019,9367015,5569722,7463378,3849598
318,0.769438,9390144,5561921,7418758,3833285
319,0.775641,9390532,5575428,7487059,3855176
321,0.790755,9362429,5565827,7502152,3879150
322,0.870942,9773382,5659860,8243262,4338802
323,1.09162,9682981,5207045,7258284,2918351
324,0.814676,9156356,5395979,6777419,3454893
325,0.795322,9274771,5485875,7772890,4146371
326,0.922246,9191196,3845966,7472300,2261785
327,0.752101,9373511,5547504,7442617,3862353
328,0.76882,9392856,5579383,7514987,3878228
329,0.806703,9275329,5487084,7780325,4155345
330,0.77415,9367911,5570835,7462559,3846452
331,0.921849,9219434,3935089,7478164,2334125
332,0.774412,9336140,5510231,7477524,3907209
333,0.337899,8201708,4924607,6541340,3355468
334,1.10024,9685675,5207094,7270122,2924010
335,0.809373,9164441,5403517,6801828,3472694
336,0.830257,8997113,5091841,8375201,4513875
337,0.813344,9274519,5484408,7766524,4143835
338,1.38051,7431317,4416526,6206303,3235415
339,0.776164,9379915,5575775,7492795,3871017
340,0.885237,8251275,4739974,7691600,4247352
341,0.768934,9362096,5572353,7496561,3885133
342,0.796256,9173369,5408245,6818469,3483249
343,0.78964,9275005,5484627,7766070,4137745
344,0.780871,9151338,5374835,7138177,3655479
345,0.773827,9140239,5365906,7155831,3675593
346,0.934183,9217546,3848088,7524755,2290439
347,0.78349,9145715,5371537,7165011,3682366
348,0.807523,9169806,5406732,6806158,3475947
349,0.937202,9229330,3860475,7533967,2299507
350,0.833492,8996951,5089350,8375666,4511808
351,0.818494,9158243,5396683,6770274,3450876
352,1.30607,7095657,4445151,4989233,2415415
353,0.810424,9275507,5485087,7766871,4138845
354,0.767521,9359481,5571058,7500889,3887194
355,0.824185,9168016,5402147,6791126,3461605
356,0.824458,9153147,5390825,6748321,3435329
357,0.783815,9370073,5577209,7516636,3894220
358,0.931879,9191432,3841645,7510619,2299525
359,0.85153,9551382,4118882,7484441,2214749
360,0.806451,9271096,5480309,7768731,4140492
361,0.770819,9360088,5533478,7427816,3855134
362,0.814878,9176331,5410546,6828622,3487114
363,0.780133,9271592,5483338,7768227,4142275
364,0.745206,10040929,4566168,7558182,2250538
365,0.770697,9370841,5574334,7511012,3886997
366,0.890957,8544159,3564319,6357705,1584234
367,0.780311,9359619,5569691,7496035,3880561
368,0.801563,9275697,5483749,7766473,4136975
369,0.79134,9273565,5480016,7761865,4130766
370,0.76256,9339405,5512795,7471096,3898298
371,0.339638,8211916,4929479,6553055,3362259
372,0.794786,9365721,5570524,7498257,3876955
373,0.83258,8993597,5087690,8373200,4510642
374,0.74284,9732509,5649377,8222748,4344446
375,0.762346,9360045,5535122,7477079,3897280
376,1.10467,9690220,5208804,7264012,2914635
377,0.758248,9340112,5516587,7477166,3904653
378,0.782226,9373188,5578869,7484731,3866805
379,0.823631,9128790,5368655,6792759,3478246
380,0.759752,9397590,5568561,7396656,3811036
381,0.767941,9377858,5578357,7487103,3864758
382,0.750923,9372912,5544841,7446848,3867644
383,0.7805,9144719,5367842,7161663,3680538
384,0.821806,9274676,5483328,7768092,4139077
385,0.781836,9146940,5370017,7170496,3686590
387,0.809368,9161233,5399873,6780339,3458283
388,0.768928,9150741,5373830,7187985,3700316
389,0.778285,9158248,5380357,7155255,3666486
390,0.94091,9225497,3859074,7526185,2294283
391,0.761777,9403111,5572340,7431593,3837673
392,0.780871,9153589,5374288,7189403,3698239
393,0.924451,9183928,3821989,7464559,2239126
394,0.339451,8199114,4923302,6548283,3363632
395,0.815452,9163377,5401660,6791850,3463810
396,0.801373,9271647,5483043,7779021,4154062
397,0.831516,9000537,5094519,8377506,4516004
398,0.813471,9167116,5400851,6790184,3464075
399,0.807538,9272348,5484065,7776345,4150651
400,0.757463,9361098,5532714,7468152,3886569
401,0.920542,9201764,3894713,7437137,2263766
402,0.886272,8251392,4740061,7691781,4247476
403,0.92266,9176669,3815996,7504711,2283666
404,0.764727,9356929,5566959,7486412,3875413
405,0.331669,8270263,4928468,6520941,3298818
406,1.08272,9678500,5205111,7261263,2925224
407,0.802,9274329,5485159,7770810,4144188
408,0.737707,9979240,4504857,7612481,2292956
409,0.781329,9364209,5566947,7507289,3881627
410,0.812754,9153728,5392137,6762710,3443867
411,0.809587,9274771,5484480,7770218,4142805
412,0.757809,9759691,5659436,8256528,4360336
413,0.708398,10470818,4799175,7638971,2168429
414,0.77577,9144757,5367886,7164676,3682943
415,0.809836,9172224,5409068,6823869,3486427
416,0.783839,9140657,5365782,7159728,3678782
417,0.764332,9426090,5599198,7538289,3883744
418,0.818028,9163279,5396453,6771813,3449079
419,1.116,9695820,5210663,7267010,2914760
420,0.933587,9214555,3839746,7530068,2290441
421,0.781431,9162164,5381665,7162263,3673719
423,0.770574,9138446,5362620,7157281,3677455
424,0.807769,9166617,5404871,6806594,3476788
425,0.926051,9207011,3869744,7482278,2276985
426,0.808266,9115405,4259766,6704514,2191472
427,0.758321,9380004,5550966,7436518,3853419
428,0.778039,9142496,5366696,7157496,3677477
430,0.763569,9384736,5554053,7422861,3837830
431,0.761694,9343656,5507633,7549698,3955045
433,0.801643,9275039,5484163,7772642,4144317
434,0.775879,9368604,5573609,7523398,3898865
435,0.770988,9353299,5561260,7488645,3875028
436,0.808814,9274800,5484996,7776091,4148809
437,0.740381,9417627,5587938,7369116,3785007
438,0.752107,9366589,5539468,7439015,3863494
439,0.779444,9143278,5370252,7179453,3696316
440,0.338991,8193487,4919811,6542712,3360012
441,1.07633,9673008,5202724,7258676,2925002
442,0.857774,9286608,3979182,7503937,2330191
443,0.766463,9375310,5550033,7422454,3846150
444,0.835749,9000969,5093764,8372212,4509798
445,0.784184,9146815,5370374,7178908,3694448
446,1.32562,7464897,4445342,6172761,3201032
447,0.807484,9270480,5484181,7773644,4149591
448,0.893203,9776218,5667938,8248323,4349188
449,0.761051,9376317,5548288,7463876,3879993
450,0.794782,9388879,5587883,7511949,3878563
451,0.905077,9779621,5673102,8248887,4352873
452,0.757429,9344441,5519073,7515212,3938872
453,0.33826,8187870,4917722,6540431,3360986
454,0.804552,9271045,5479965,7773357,4145259
455,0.792098,9776863,5657068,8247966,4337109
456,0.336481,8189581,4917564,6535108,3354029
457,0.750039,9385878,5557601,7436275,3854687
458,0.774984,9142005,5366969,7164348,3683889
459,0.927925,9185712,3820989,7480521,2251320
460,0.805651,9172407,5410001,6769711,3444317
461,0.938152,8518505,3480584,6340725,1509237
462,0.810441,9157961,5396892,6779352,3455374
463,0.872782,9773759,5660554,8243259,4339204
464,0.771395,9150204,5371969,7188554,3700417
465,0.833181,8998644,5090461,8381180,4516510
466,0.760954,9347221,5513921,7525269,3942160
467,0.951398,8426631,5155282,7648375,4459745
468,0.935845,9235882,3878126,7528505,2306164
469,0.779332,9352057,5562083,7473269,3865596
470,0.337366,8196034,4921356,6547417,3363784
