Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.940835,9778574,5668847,7746326,3882738
2,0.994468,8251365,4740043,6731403,3331113
3,0.347604,8199937,4922432,5613761,2496669
4,0.785494,9382645,5550518,6976537,3442366
5,0.797799,9147952,5371752,6753586,3315365
6,0.85152,9276740,5482414,7306336,3709682
7,0.915336,9782621,5658328,7747147,3871034
8,0.804422,9349216,5555149,7049126,3474813
9,1.15183,9675893,5204512,5623083,1439518
10,0.348341,8202374,4924447,5611521,2494921
11,0.801777,9357893,5533759,7029335,3490394
12,0.867534,9305994,4050065,6788263,1746012
13,0.7961,9154127,5376198,6766510,3324920
14,0.782024,9399392,5572630,6945896,3400870
15,0.802459,9148036,5369572,6740619,3302542
16,0.969982,9220797,3848367,6839715,1662731
17,0.795722,9145249,5369031,6746984,3315077
18,0.857158,9161005,5395827,6326657,3054476
19,0.809685,9139101,5364403,6732997,3301377
20,0.948189,9776202,5669201,7740263,3880903
21,0.900793,9316106,4099734,6708843,1728839
22,0.844126,9274996,5486951,7323587,3738858
23,0.820793,9360633,5566429,7054928,3478293
24,0.788871,9361960,5536210,7023884,3480745
25,0.793905,9383450,5586813,7087977,3499592
26,0.848216,9154620,5394872,6330683,3061314
27,0.808018,9147243,5369911,6742643,3304495
28,0.811705,9361334,5571444,7079121,3498857
29,0.849264,9169138,5406791,6300910,3032328
30,0.846341,9272963,5486728,7322001,3733574
31,0.810085,9360680,5565546,7070228,3488726
32,0.917206,9301803,4077818,6676349,1692506
33,0.835732,9274404,5484355,7319289,3727308
34,0.900904,8995522,5092024,7738803,3903008
35,0.827942,9393216,5584417,7099203,3503318
36,0.812388,9360861,5570170,7070232,3493877
37,0.855322,9275376,5486237,7327791,3737496
38,0.792307,9161005,5383300,6725644,3283131
39,0.784489,9336646,5511158,7097310,3551120
40,0.834977,9158267,5398232,6344560,3071421
41,0.913047,9293400,3979357,6795194,1693907
42,0.850391,9274834,5485718,7320036,3729095
43,1.15445,9680127,5206225,5627859,1442405
44,0.960202,9196543,3869401,6784673,1661698
45,0.952338,9190408,3842579,6802471,1658741
47,0.846012,9163451,5400627,6359966,3081643
48,0.905408,9289518,3978595,6802344,1703512
49,0.839657,9274565,5487637,7327154,3738720
50,0.815846,9371044,5576655,7090525,3500389
51,0.90497,9001036,5095247,7729211,3893378
52,0.784183,9370670,5544353,6999677,3456846
53,0.811771,9360058,5571125,7079758,3499032
54,0.768801,9380910,5559293,6960282,3429698
55,0.843373,9164604,5399897,6355162,3077729
56,0.957112,9206091,3908305,6746471,1652310
57,0.846462,9273826,5486693,7326781,3737934
58,0.340077,8258963,4922403,5607644,2462729
59,0.812744,9358860,5565775,7065093,3485514
60,0.852304,9273470,5486184,7328242,3739640
61,0.923533,9276213,4021037,6688720,1673464
62,0.852746,9156640,5393902,6323187,3056077
63,0.84457,9273550,5484878,7312767,3721160
64,0.347446,8195409,4920780,5616576,2502865
65,1.17347,9685829,5206820,5628884,1426870
66,0.862701,9268790,5480064,7315351,3723293
67,0.799432,9141051,5367411,6713398,3285164
68,0.902319,8993904,5087802,7733771,3895441
69,0.348207,8200559,4923621,5611077,2495915
70,0.848412,9155139,5395963,6341331,3070268
71,0.819888,9365853,5571085,7076457,3491504
72,0.955945,8582105,3598164,5708524,1008448
73,0.676477,10493430,5110368,6595989,1604808
74,0.80448,9144858,5366338,6734374,3297493
75,0.862686,9160488,5396781,6320582,3053086
76,0.905622,9752394,5653318,7741584,3887967
77,0.79971,9154093,5376862,6771573,3328650
78,0.348338,8191830,4918849,5612665,2500166
79,0.847396,9159540,5396161,6334009,3063374
80,0.907401,9001258,5094918,7731599,3894981
81,0.793219,9319951,5490966,7094351,3555304
82,0.809353,9143538,5365913,6723179,3291710
83,0.815234,9371883,5577975,7067977,3486988
84,0.782219,9393684,5568280,6960340,3414582
85,0.883377,9261358,3990910,6766969,1708716
86,0.907449,9001019,5093476,7732675,3894472
87,0.79347,9356771,5529724,7078347,3530105
88,0.90697,8996065,5088793,7735195,3895637
89,0.823986,9376842,5578414,7076383,3485554
90,0.851016,9275477,5485281,7327743,3736388
91,0.777621,9413198,5584415,6966701,3414514
92,0.808291,9143630,5368260,6732451,3299833
93,0.347974,8187904,4916632,5601439,2491329
94,0.942507,9778077,5670421,7746838,3885469
95,0.78377,9371781,5550265,6959506,3429508
96,0.785648,9381496,5559451,6993337,3451631
97,0.792066,9735443,5652893,7741692,3900910
98,0.821069,9376307,5576344,7057637,3467022
99,0.851274,9275864,5483830,7317219,3723233
100,1.17142,9682601,5205244,5650085,1435337
101,0.809976,9338299,5506597,7066355,3521075
102,0.795267,9155272,5376915,6770077,3325882
103,1.15302,9675224,5204808,5629897,1440239
104,0.904564,9002559,5095714,7731306,3894451
105,0.97792,9237562,3879467,6829475,1668161
106,0.805672,9146779,5368544,6737745,3300935
107,0.84009,9165040,5401909,6355342,3079097
109,0.794251,9142660,5367021,6733238,3305031
110,0.849245,9157255,5395277,6334875,3064980
111,0.93837,9180118,3827880,6762071,1620914
112,0.819195,9366061,5567600,7038482,3455814
113,0.785993,9321540,5498302,7063892,3530848
114,0.783425,9359413,5529707,7012048,3471409
115,0.808925,9149592,5370548,6744788,3305240
116,0.832759,9166302,5402766,6364925,3084544
117,0.843169,9271646,5486187,7326454,3738783
118,0.863204,9271865,5481697,7327608,3735434
119,0.940736,9773415,5668381,7746580,3886984
120,0.965913,9238921,3878881,6820299,1658543
121,1.1707,9689840,5209137,5659913,1423153
122,0.806445,9161647,5382909,6769617,3323425
123,0.842006,9161384,5401149,6354835,3078969
124,0.819874,9359669,5567259,7063719,3484301
125,0.811665,9358889,5569092,7074373,3495881
126,0.858921,9146084,5385753,6292561,3034261
127,0.907134,9003178,5096749,7731600,3895203
128,0.919074,9287514,4035840,6704955,1688676
129,0.85992,9275170,5485993,7330355,3740190
130,0.781822,9333506,5503972,7075658,3534977
131,0.95564,9193182,3842190,6775577,1633442
132,0.956608,8513371,3480615,5635451,893083
133,0.962122,9209524,3903624,6761099,1659234
134,0.826555,9357962,5564248,7056703,3478854
135,0.781039,9320030,5493781,7107563,3572695
136,0.840094,9156215,5393131,6332738,3061012
137,0.944876,8518945,3457921,5678649,899861
138,0.848493,9273007,5487136,7325969,3737868
139,0.869043,9274274,5485354,7318092,3726595
140,0.816199,9353837,5563039,7055698,3480175
141,1.18221,9687969,5208338,5633987,1434458
142,0.823296,9361013,5564619,7078737,3492131
143,1.19986,9699435,5210892,5676573,1419739
144,0.819668,9412338,5590639,7097752,3490410
145,0.831953,9274464,5484585,7322733,3730885
146,0.848103,9275137,5483705,7314121,3720403
147,0.864367,9622958,4195620,6787782,1605048
148,0.803965,9379230,5575781,7081236,3490784
149,0.803882,9172333,5393289,6739116,3291706
150,0.778635,9418161,5587774,6964880,3410200
151,0.967409,9213411,3897985,6741256,1633585
152,0.866374,9151618,5370778,6122203,2948239
153,0.839563,9274388,5483237,7316069,3722906
154,0.92454,8504909,5042789,7194793,3880971
155,0.324681,8411643,4889382,5434641,2231646
156,0.795875,9360030,5568344,7064596,3490282
157,0.841595,9275290,5485875,7315954,3729074
158,0.780153,9326237,5499982,7082549,3544574
159,0.797058,9370291,5573409,7057981,3479009
160,0.962756,8526373,3429909,5689404,872186
161,0.840734,9158381,5396567,6341970,3068905
162,0.973055,9220220,3849234,6835968,1661844
163,0.80139,9151667,5373348,6753638,3312033
164,0.908213,9002383,5094929,7731328,3893601
165,0.849498,9163343,5400235,6349573,3070313
166,0.857186,9274899,5484686,7319145,3727171
168,0.825714,9359062,5566566,7065019,3487095
169,0.787525,9342024,5513361,7069510,3532399
170,0.813122,9142362,5365161,6723685,3290700
171,0.958238,9185272,3822650,6782838,1627859
172,0.349991,8209003,4928424,5620428,2501410
173,0.797919,9147641,5370538,6750925,3315974
174,0.347949,8201352,4925595,5609213,2496195
175,1.1726,9696046,5211693,5650722,1423378
176,0.849186,9159361,5397470,6336320,3066027
178,0.808019,9141512,5366652,6744647,3309611
179,0.900296,8999477,5095619,7732067,3897732
180,0.972838,9223832,3858898,6832023,1664920
181,0.840205,9146137,5386415,6319201,3054079
182,0.777462,9385722,5550644,6973329,3429747
183,0.796308,9141317,5370024,6743214,3310971
184,0.86851,9273789,5483701,7318519,3726140
185,0.812554,9357822,5561263,7062745,3481550
186,0.790835,9389744,5562363,6980541,3435898
187,0.903133,9779506,5655519,7747258,3872218
188,0.946728,9766112,5668051,7723744,3875577
189,0.793825,9146325,5369052,6738702,3303986
190,0.804442,9143962,5369736,6744073,3309612
191,0.841893,9159875,5396521,6347623,3073214
192,0.808526,9148867,5370614,6748798,3308439
193,0.794581,9163295,5385187,6729845,3287955
194,0.663262,10575884,5273768,6465174,1615652
195,1.17876,9691170,5207932,5660179,1426343
196,0.798551,9357302,5524009,7005086,3472009
197,0.79808,9148150,5370414,6743291,3305336
198,1.18771,9696112,5210366,5649953,1424539
199,0.847774,9175688,5411998,6316543,3043887
200,1.17198,9691381,5209064,5648889,1425883
201,0.816515,9366673,5567707,7075984,3484908
202,0.786529,9374822,5549453,6984002,3440667
203,0.92214,9780209,5664251,7757372,3886225
204,0.77468,9395427,5572688,6961705,3415241
205,1.38427,7037044,4407875,3460404,924241
206,0.799855,9374927,5580104,7069729,3486612
207,0.858955,9266370,4233385,6532486,1711526
208,0.794881,9360272,5534541,7043017,3500761
209,0.803297,9380734,5580002,7070323,3479659
210,0.940457,9776096,5668234,7745530,3884442
211,0.804839,9328215,5497205,7083021,3542639
212,0.79426,9135363,5361106,6712718,3286440
213,0.853834,9272699,5481476,7310392,3716279
214,0.916873,9779938,5663592,7755728,3883979
215,0.346375,8194848,4922221,5603188,2491901
216,0.822343,9359654,5568272,7063558,3483948
217,0.906885,9002041,5095523,7733770,3896607
218,0.788162,9404305,5581273,6970807,3424394
219,0.851736,9271713,5481301,7322433,3729365
220,0.798362,9372668,5579367,7102250,3511534
221,0.839534,9165623,5402950,6371460,3088062
222,0.904222,9290954,3984305,6790760,1697522
223,0.844994,9275940,5483473,7306373,3711061
224,0.95502,9221699,3918035,6767318,1667135
225,0.928672,9281987,4022587,6698399,1676679
226,0.825704,9273028,5484526,7312436,3721432
227,0.806802,9360757,5565363,7060330,3478952
228,0.956486,9184532,3831332,6805151,1656029
229,0.86556,9273904,5483661,7320222,3728315
230,0.791892,9422062,5591361,6961262,3408453
231,0.81407,9140737,5366850,6728202,3296845
232,0.847455,9160051,5397005,6337657,3065839
233,1.15165,9677368,5205909,5621220,1437955
234,0.797397,9746459,5654479,7745899,3898150
235,0.84792,9165922,5401333,6354241,3075195
236,0.855407,9275198,5484769,7320771,3728455
237,0.812914,9361628,5568598,7071187,3491098
238,1.16108,8426715,5155349,5762003,2733376
239,0.850291,9156056,5393864,6326793,3060027
240,0.865984,9150615,5387645,6298044,3039426
241,0.847206,9163098,5400256,6356047,3077775
242,0.350291,8200388,4922782,5617011,2499666
243,0.806402,9395108,5585512,7081426,3491049
244,0.875713,9275828,5483340,7301350,3710574
245,0.84271,9161569,5398994,6350695,3073869
246,0.860721,9274791,5484987,7309209,3721357
247,0.819048,9362342,5566590,7063713,3480722
248,0.801704,9164633,5383757,6739791,3294211
249,0.906319,9000426,5093833,7730143,3893256
250,0.808122,9144186,5367061,6729934,3295890
251,0.804735,9375753,5574902,7057826,3470330
252,0.787681,9315144,5492334,7087784,3552015
253,0.82107,9358852,5566513,7069215,3491331
254,0.843793,9274776,5486094,7329758,3740188
255,0.921869,9298693,4067387,6697399,1704642
256,0.827163,9362453,5567085,7081839,3498460
257,0.971021,9196696,3875555,6774457,1658217
258,0.839453,9162243,5397303,6347164,3071127
259,0.907995,9286669,3967885,6809908,1702878
260,0.86266,9275965,5484920,7318276,3725252
261,0.773663,9417400,5588807,6960876,3404638
262,0.346734,8193512,4921024,5607572,2496554
263,0.827473,9371880,5568755,7043645,3456844
264,0.85701,9275079,5482934,7306114,3710729
265,0.797606,9385969,5556538,7022689,3468756
266,0.807393,9414297,5591387,7086597,3485938
268,0.907152,9001451,5095987,7731365,3895789
269,0.85322,9274590,5486594,7326673,3737067
270,0.78735,9364705,5533279,7061948,3516967
271,0.794959,9151927,5371760,6749465,3307480
272,0.940843,9777760,5669731,7744969,3883391
273,0.867765,9271391,5483695,7326204,3740265
274,0.805163,9150102,5372105,6752788,3312978
275,0.941859,9774373,5668766,7739600,3881796
276,0.653573,10363437,5295839,5598335,1297387
277,0.784299,9390384,5569186,6980611,3438983
278,0.818428,9363595,5569336,7083563,3500318
279,0.348055,8211014,4929570,5608003,2489144
280,0.858146,9149193,5387909,6288273,3031770
281,1.16275,9678110,5204810,5639338,1438390
282,0.811327,9142406,5364488,6765237,3330169
283,0.979089,9230671,3863388,6833331,1661501
284,0.847419,9156276,5396069,6328440,3061701
285,0.798097,9393745,5557990,7021772,3461032
286,0.808803,9139129,5365460,6723695,3293552
287,0.694061,10397067,4893355,6758463,1569036
288,0.905907,9001308,5095060,7730478,3894147
289,0.851097,9155654,5392446,6311436,3049878
290,0.792228,9149013,5372013,6760652,3321207
291,0.837797,9162057,5397099,6347786,3071351
292,0.80549,9138902,5365134,6731441,3304908
293,0.96973,9190573,3836627,6781409,1634697
294,0.849839,9160254,5396221,6346188,3070941
295,0.783269,9418112,5589954,6969104,3417570
296,0.803552,9143923,5368285,6740376,3302983
297,1.30094,8418999,5289548,5472288,2634077
298,0.962523,9241100,3888605,6816718,1664148
299,0.840107,9170291,5404536,6363635,3080507
300,0.791093,9749999,5649252,7744194,3886482
301,0.87035,9331023,5514586,6496808,3072609
303,0.845099,9274662,5484659,7313564,3720490
304,0.794043,9383808,5556585,6931392,3403035
305,0.805072,9147897,5370036,6740673,3303658
306,0.832267,9272171,5479418,7308480,3711786
307,0.785855,9140402,5365086,6727075,3295925
308,0.924712,8504927,5042803,7198148,3881046
309,0.948968,9781728,5672768,7755943,3891502
310,0.896584,9779758,5655361,7748019,3870696
311,1.18694,9695283,5208896,5636738,1425296
312,0.78371,9326832,5498946,7101356,3557838
313,0.795605,9358043,5563457,7064028,3480208
314,0.34842,8187124,4916062,5606754,2496257
315,0.90627,9002316,5095377,7730090,3893087
316,0.866993,9274883,5483700,7308732,3714424
317,0.800259,9367020,5569725,7043691,3467405
318,0.80902,9390142,5561919,6992393,3443077
319,0.806124,9390508,5575416,7051773,3463421
