Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.997232,9778574,5668847,7253753,3444226
2,1.17088,8251345,4740032,5688087,2333695
3,0.354565,8199935,4922431,4868832,1787418
4,0.815405,9382646,5550519,6664444,3162952
5,0.815383,9147956,5371755,6486336,3063571
6,0.886845,9276740,5482414,7006656,3429284
7,0.961448,9782626,5658331,7239812,3428524
8,0.830783,9349212,5555145,6762894,3206895
9,1.16494,9675907,5204522,5096304,1050322
10,0.355523,8202365,4924448,4865835,1786189
11,0.823365,9357892,5533758,6721764,3207879
12,0.880374,9305995,4050065,6572168,1558983
13,0.818935,9154129,5376200,6497829,3071935
14,0.807215,9399392,5572630,6637393,3124970
15,0.82668,9148052,5369584,6474460,3051599
16,0.985389,9220791,3848363,6613748,1460867
17,0.817614,9145235,5369023,6478825,3062729
18,0.883854,9161005,5395827,6052871,2801242
19,0.829222,9139100,5364401,6466787,3050366
20,0.995014,9776202,5669201,7248737,3444453
21,0.913751,9316106,4099734,6474577,1530261
22,0.880593,9275001,5486955,7020509,3456020
23,0.854973,9360633,5566429,6769035,3210546
24,0.823278,9361982,5536221,6706769,3197475
25,0.826725,9383455,5586818,6803974,3234277
26,0.870326,9154625,5394876,6055228,2806623
27,0.828909,9147241,5369912,6475190,3052535
28,0.836788,9361333,5571443,6790997,3229593
29,0.87808,9169138,5406791,6026950,2778711
30,0.875117,9272969,5486731,7018202,3450182
31,0.832401,9360681,5565545,6782965,3219835
32,0.93111,9301801,4077816,6444212,1495432
33,0.879586,9274415,5484364,7016813,3444719
34,1.00402,8995500,5092010,6833224,3032244
35,0.854174,9393216,5584417,6786192,3210912
36,0.834571,9360859,5570169,6777108,3220095
37,0.885832,9275391,5486241,7025059,3454889
38,0.81258,9160989,5383290,6459903,3033055
39,0.820594,9336646,5511158,6780614,3267074
40,0.861917,9158266,5398231,6070043,2817522
41,0.927324,9293401,3979358,6580040,1504125
42,0.879416,9274831,5485716,7018171,3447108
43,1.16812,9680127,5206225,5091786,1053190
44,0.973848,9196538,3869400,6549503,1455938
45,0.965582,9190408,3842579,6568645,1453582
47,0.871035,9163444,5400621,6085465,2827725
48,0.917326,9289518,3978595,6584019,1512492
49,0.881351,9274559,5487635,7025031,3456650
50,0.848502,9371047,5576657,6802488,3230884
51,1.00996,9001018,5095238,6824549,3023703
52,0.824335,9370667,5544341,6685951,3176148
53,0.841133,9360056,5571123,6789693,3228091
54,0.794958,9380900,5559284,6648760,3150652
55,0.869781,9164609,5399899,6080747,2824082
56,0.97133,9206093,3908306,6514588,1449135
57,0.870934,9273823,5486690,7024569,3455686
58,0.346723,8258947,4922394,4871389,1759404
59,0.83877,9358857,5565774,6775877,3215122
60,0.88538,9273469,5486183,7024388,3456168
61,0.937699,9276222,4021039,6465120,1482956
62,0.877718,9156632,5393897,6048328,2801930
63,0.876079,9273548,5484876,7009305,3437979
64,0.354476,8195405,4920777,4869274,1791660
65,1.18626,9685828,5206819,5095642,1040937
66,0.899325,9268799,5480067,7010092,3438452
67,0.821102,9141051,5367411,6448768,3035808
68,1.00594,8993888,5087792,6827062,3023115
69,0.355194,8200498,4923581,4864025,1785957
70,0.873618,9155124,5395952,6067254,2816602
71,0.840362,9365857,5571088,6789396,3222880
72,0.969902,8582105,3598164,5385730,758007
73,0.682751,10493425,5110367,6373518,1413960
74,0.828433,9144855,5366335,6467842,3046408
75,0.881656,9160483,5396777,6046078,2799153
76,0.957941,9752363,5653303,7229183,3443711
77,0.822247,9154093,5376862,6502953,3075739
78,0.355543,8191833,4918850,4865785,1789263
79,0.869072,9159537,5396160,6061172,2810949
80,1.01197,9001234,5094903,6825580,3024037
81,0.825756,9319951,5490966,6772559,3267740
82,0.830692,9143542,5365916,6457297,3041232
83,0.842694,9371869,5577964,6784246,3221945
84,0.815094,9393688,5568283,6650018,3136773
85,0.894404,9261367,3990912,6550134,1516956
86,1.01181,9001015,5093474,6827085,3023529
87,0.818956,9356769,5529723,6772641,3248901
88,1.01231,8996044,5088782,6815877,3023409
89,0.846413,9376834,5578407,6789769,3217216
90,0.877536,9275474,5485279,7025052,3453818
91,0.810177,9413187,5584407,6660539,3140719
92,0.831314,9143633,5368263,6465951,3048803
93,0.35507,8187897,4916625,4855292,1781801
94,1.00238,9778045,5670405,7252759,3448122
95,0.815941,9371781,5550265,6651505,3153944
96,0.806216,9381491,5559448,6690730,3173730
97,0.827299,9735410,5652877,7204892,3454093
98,0.84246,9376309,5576346,6772875,3200064
99,0.875149,9275854,5483821,7016044,3441752
100,1.18554,9682601,5205244,5113692,1047053
101,0.833932,9338296,5506596,6749973,3237963
102,0.819078,9155271,5376915,6501269,3072786
103,1.16652,9675224,5204808,5100589,1051440
104,1.00899,9002543,5095703,6824906,3024577
105,0.993449,9237560,3879465,6596239,1461579
106,0.826242,9146782,5368547,6471518,3049938
107,0.868676,9165035,5401906,6081862,2826123
109,0.822269,9142658,5367020,6460184,3048072
110,0.872213,9157254,5395276,6060846,2811550
111,0.95409,9180113,3827880,6535647,1423781
112,0.843417,9366100,5567621,6754918,3190257
113,0.823504,9321542,5498304,6742372,3243202
114,0.820123,9359413,5529707,6697546,3189856
115,0.832641,9149592,5370548,6478390,3054143
116,0.85509,9166302,5402766,6092337,2832302
117,0.871853,9271647,5486188,7020984,3454118
118,0.891665,9271855,5481692,7023326,3451557
119,0.994626,9773412,5668379,7256753,3450903
120,0.980708,9238923,3878882,6592472,1455586
121,1.18367,9689835,5209137,5112760,1038042
122,0.825951,9161647,5382909,6501016,3070650
123,0.869833,9161381,5401149,6079364,2824045
124,0.846324,9359669,5567259,6774256,3213695
125,0.836366,9358888,5569091,6786412,3226814
126,0.893337,9146066,5385741,6018354,2780627
127,1.01115,9003153,5096728,6827670,3026151
128,0.93314,9287514,4035840,6476194,1493789
129,0.89424,9275178,5485997,7026426,3456598
130,0.81245,9333506,5503972,6756751,3249678
131,0.973116,9193183,3842191,6548389,1435216
132,0.966921,8513350,3480611,5332080,658706
133,0.977132,9209534,3903629,6527989,1455666
134,0.855117,9357974,5564253,6770827,3211351
135,0.811891,9320023,5493779,6786257,3285292
136,0.864745,9156221,5393136,6060590,2809219
137,0.954538,8518938,3457919,5396941,680433
138,0.889584,9272996,5487129,7022273,3454537
139,0.902814,9274273,5485353,7015498,3444047
140,0.839318,9353844,5563046,6770051,3212850
141,1.19644,9687968,5208338,5111333,1046220
142,0.853115,9361013,5564619,6792389,3223845
143,1.21244,9699435,5210892,5126311,1034893
144,0.84215,9412336,5590638,6782671,3195693
145,0.867372,9274469,5484586,7019005,3447447
146,0.882622,9275132,5483701,7012506,3438470
147,0.875075,9622958,4195620,6566035,1410276
148,0.835051,9379210,5575775,6777676,3206858
149,0.825374,9172324,5393282,6472847,3041240
150,0.809613,9418172,5587782,6661638,3138076
151,0.985235,9213411,3897985,6511402,1432071
152,0.888551,9151625,5370783,5849549,2695980
153,0.880262,9274388,5483237,7013924,3440609
154,1.05999,8504880,5042768,6218552,2948999
155,0.329897,8411636,4889379,4765226,1594310
156,0.825678,9360030,5568344,6777434,3221794
157,0.879116,9275284,5485870,7013620,3446743
158,0.813578,9326224,5499974,6762150,3257975
159,0.822714,9370304,5573414,6775733,3215159
160,0.973629,8526373,3429909,5395803,643536
161,0.864559,9158381,5396568,6068067,2815495
162,0.98842,9220220,3849234,6607896,1458974
163,0.823539,9151662,5373343,6486418,3060164
164,1.01243,9002371,5094921,6825565,3022576
165,0.874648,9163345,5400236,6074411,2815584
166,0.885062,9274881,5484677,7016854,3444862
168,0.849497,9359050,5566560,6778338,3219003
169,0.82094,9342019,5513357,6751310,3247966
170,0.833188,9142362,5365161,6456088,3038535
171,0.976573,9185190,3822612,6557459,1430215
172,0.357116,8209003,4928424,4872306,1791289
173,0.820081,9147633,5370534,6483123,3063776
174,0.354994,8201346,4925591,4860682,1784793
175,1.18522,9696046,5211693,5121886,1038570
176,0.875004,9159357,5397466,6063969,2814198
178,0.828641,9141507,5366650,6477626,3058016
179,1.00436,8999474,5095616,6818961,3027839
180,0.987465,9223833,3858899,6601984,1461094
181,0.86617,9146129,5386409,6047357,2802834
182,0.815966,9385722,5550644,6662591,3151834
183,0.818961,9141314,5370021,6467805,3052017
184,0.898142,9273781,5483698,7015071,3442982
185,0.834342,9357827,5561266,6776783,3213599
186,0.823223,9389741,5562362,6670483,3158655
187,0.954316,9779483,5655507,7236934,3431779
188,1.00197,9766109,5668049,7239858,3443041
189,0.820109,9146325,5369049,6471331,3052263
190,0.82531,9143961,5369735,6475050,3056297
191,0.872052,9159875,5396521,6076076,2821902
192,0.833277,9148832,5370592,6482023,3056996
193,0.815112,9163295,5385187,6464296,3038137
194,0.66913,10575884,5273768,6235928,1432375
195,1.19164,9691170,5207932,5107354,1040571
196,0.825717,9357302,5524009,6692043,3190778
197,0.822659,9148155,5370416,6475755,3053372
198,1.2009,9696112,5210366,5098942,1039104
199,0.871592,9175687,5411997,6042110,2789806
200,1.18496,9691381,5209064,5107070,1040137
201,0.850271,9366676,5567709,6789049,3216070
202,0.805564,9374829,5549458,6680134,3161440
203,0.978827,9780209,5664251,7238700,3439757
204,0.804337,9395429,5572689,6653411,3139433
205,1.38456,7037047,4407878,2959436,459000
206,0.822626,9374930,5580103,6786489,3221857
207,0.870049,9266370,4233385,6316788,1518799
208,0.831976,9360246,5534528,6727031,3218488
209,0.81987,9380733,5580002,6786782,3214185
210,0.992546,9776095,5668234,7253410,3446981
211,0.842832,9328227,5497214,6764680,3257679
212,0.812039,9135363,5361106,6447797,3036739
213,0.879361,9272694,5481472,7010376,3435581
214,0.971518,9779943,5663593,7236048,3436964
215,0.353274,8194843,4922222,4852988,1782386
216,0.848275,9359656,5568273,6777190,3215916
217,1.01335,9002044,5095524,6822219,3025648
218,0.821219,9404307,5581274,6663374,3149183
219,0.884271,9271714,5481302,7017902,3445321
220,0.826503,9372668,5579367,6811803,3240210
221,0.864401,9165632,5402958,6096571,2833780
222,0.916016,9290953,3984304,6576037,1508658
223,0.883684,9275942,5483475,7006277,3430362
224,0.969507,9221699,3918035,6531433,1460567
225,0.944519,9281979,4022585,6471140,1484198
226,0.860644,9273019,5484519,7010385,3439134
227,0.834226,9360756,5565362,6775344,3211977
228,0.969618,9184529,3831331,6572844,1452668
229,0.898644,9273903,5483660,7016978,3445171
230,0.821951,9422081,5591368,6657351,3136189
231,0.830348,9140728,5366847,6462456,3046320
232,0.872174,9160049,5397004,6064605,2813085
233,1.16577,9677370,5205911,5101145,1049372
234,0.831131,9746451,5654477,7224024,3453370
235,0.875824,9165927,5401336,6080604,2822016
236,0.887296,9275198,5484769,7019010,3446517
237,0.843106,9361627,5568598,6783756,3222305
238,1.32847,8426713,5155347,4772275,1800689
239,0.875265,9156099,5393880,6051985,2805895
240,0.887234,9150617,5387647,6023831,2785735
241,0.872079,9163098,5400256,6081593,2823900
242,0.357489,8200373,4922775,4870686,1789584
243,0.827914,9395108,5585512,6772817,3202634
244,0.911523,9275822,5483334,7000894,3429564
245,0.868986,9161570,5398995,6075581,2819433
246,0.892317,9274787,5484983,7006819,3438935
247,0.856626,9362340,5566589,6777933,3213073
248,0.825157,9164631,5383756,6470614,3041020
