Trace,IPC,Loads,Stores,Load Misses,Store Misses
140,0.78594,9353848,5563049,7479306,3868943
141,1.10984,9687977,5208341,7269059,2924486
142,0.803059,9361077,5564662,7502989,3881589
143,1.12562,9699383,5210873,7273180,2913788
144,0.79121,9412336,5590638,7535864,3885585
145,0.796078,9274465,5484583,7773631,4146996
146,0.805805,9275150,5483714,7768722,4140492
147,0.836249,9622967,4195623,7536942,2275420
148,0.780705,9379246,5575789,7509962,3882080
149,0.773967,9172339,5393294,7165944,3672662
150,0.753244,9418171,5587778,7387577,3796110
151,0.930084,9213408,3897985,7456089,2275002
152,0.834642,9151624,5370782,6569387,3341969
153,0.79698,9274388,5483237,7771201,4142950
154,0.859328,8504926,5042798,8005880,4609493
155,0.316815,8411645,4889385,6253113,2987120
156,0.7657,9360030,5568344,7487992,3878907
157,0.809823,9275296,5485881,7768154,4146386
158,0.747818,9326227,5499975,7515336,3940334
159,0.76619,9370290,5573408,7474845,3859643
160,0.943797,8526373,3429909,6369090,1475693
161,0.813347,9158380,5396567,6775033,3453304
162,0.935183,9220229,3849239,7529192,2293309
163,0.77676,9151682,5373359,7186335,3697218
164,0.83767,9002379,5094927,8371169,4509017
165,0.815947,9163349,5400238,6783021,3455469
166,0.797072,9274900,5484687,7771760,4144927
168,0.789711,9359058,5566566,7488966,3876063
169,0.750739,9342031,5513365,7502070,3927633
170,0.783387,9142362,5365161,7154940,3674228
171,0.925241,9185282,3822653,7476923,2248620
172,0.33981,8209005,4928426,6550699,3361567
173,0.77151,9147640,5370538,7182086,3699697
174,0.337918,8201353,4925595,6542722,3361428
175,1.10225,9695981,5211669,7266460,2915325
176,0.821053,9159358,5397467,6767859,3449138
178,0.78065,9141514,5366654,7175753,3692959
179,0.832026,8999495,5095629,8368753,4510598
180,0.934796,9223849,3858901,7524051,2294936
181,0.806614,9146131,5386412,6751815,3438713
182,0.752626,9385724,5550645,7405813,3823760
183,0.773138,9141330,5370030,7171948,3693526
184,0.828147,9273788,5483700,7770019,4143496
185,0.778236,9357820,5561263,7486780,3870231
186,0.763149,9389804,5562404,7404427,3823868
187,0.861026,9779500,5655514,8248223,4336161
188,0.905592,9766112,5668050,8224789,4340319
189,0.769474,9146325,5369052,7167568,3685198
190,0.775131,9143953,5369731,7174752,3692157
191,0.812222,9159882,5396524,6779860,3457170
192,0.778945,9148860,5370611,7180553,3692889
193,0.765262,9163297,5385188,7157412,3669094
194,0.649413,10575885,5273769,7288133,2287362
195,1.10677,9691166,5207928,7266076,2917437
196,0.768839,9357303,5524010,7445889,3873385
197,0.775565,9148150,5370414,7174400,3688588
198,1.11516,9696050,5210338,7269710,2917110
199,0.816402,9175688,5411998,6766194,3441065
200,1.10065,9691385,5209066,7264877,2916912
201,0.790084,9366667,5567703,7499438,3874504
202,0.761492,9374822,5549453,7414410,3837413
203,0.879147,9780209,5664251,8253053,4346939
204,0.751554,9395429,5572689,7380654,3800720
205,1.37538,7037007,4407849,4987147,2428320
206,0.761965,9374931,5580106,7486572,3867949
207,0.829538,9266370,4233385,7241692,2345518
208,0.768458,9360272,5534541,7470089,3891611
209,0.765311,9380724,5579995,7489899,3864330
210,0.89973,9776093,5668233,8247821,4349344
211,0.769063,9328272,5497243,7524109,3945764
212,0.764983,9135329,5361083,7142383,3667411
213,0.802021,9272703,5481479,7766077,4137489
214,0.877417,9779947,5663597,8250772,4343594
215,0.336606,8194824,4922206,6537405,3355941
216,0.787608,9359660,5568277,7487426,3873623
217,0.836513,9002042,5095524,8372324,4511031
218,0.762901,9404306,5581271,7390087,3806646
219,0.815357,9271704,5481295,7773251,4146405
220,0.767218,9372681,5579373,7524979,3900858
221,0.810983,9165604,5402944,6804540,3473643
222,0.871013,9290953,3984304,7493761,2320306
223,0.799568,9275940,5483473,7762977,4133792
224,0.919341,9221628,3918013,7498786,2333784
225,0.89492,9281985,4022587,7440292,2332030
226,0.801995,9273043,5484536,7765396,4140106
227,0.775415,9360754,5565360,7485016,3869635
228,0.920901,9184548,3831338,7512117,2298699
229,0.811074,9273906,5483662,7772030,4146106
230,0.765112,9422062,5591361,7381454,3791665
231,0.781227,9140744,5366853,7159253,3679768
232,0.814722,9160052,5397006,6770346,3450559
233,1.08349,9677353,5205896,7257517,2924314
234,0.764664,9746455,5654475,8243459,4357858
235,0.811354,9165922,5401333,6788549,3461093
236,0.805871,9275196,5484767,7773667,4146322
237,0.783936,9361628,5568598,7495064,3879985
238,0.950432,8426724,5155354,7648444,4459820
239,0.812761,9156057,5393865,6760132,3444194
240,0.828146,9150618,5387648,6731248,3424246
241,0.81408,9163076,5400245,6789680,3463190
242,0.34033,8200442,4922815,6546875,3360082
243,0.781351,9395101,5585509,7513826,3882762
244,0.832912,9275828,5483340,7758025,4133389
245,0.813586,9161576,5398999,6783701,3458303
246,0.818719,9274797,5484990,7762642,4140779
247,0.787192,9362341,5566589,7488630,3871472
248,0.775449,9164625,5383754,7168539,3676674
249,0.83652,9000432,5093837,8369582,4508196
250,0.778701,9144215,5367073,7161466,3679601
251,0.778581,9375749,5574899,7477232,3854826
252,0.760583,9315149,5492336,7527892,3955451
253,0.787013,9358855,5566515,7493451,3880083
254,0.80871,9274776,5486094,7778670,4153996
255,0.888493,9298686,4067388,7452014,2371687
256,0.796819,9362449,5567082,7503110,3885567
257,0.932874,9196696,3875555,7488597,2307901
258,0.81315,9162243,5397303,6779682,3455400
259,0.873249,9286646,3967881,7514207,2326799
260,0.811206,9275962,5484919,7772010,4143960
261,0.751508,9417400,5588807,7381288,3791388
262,0.33681,8193469,4921008,6542298,3361961
263,0.789044,9371876,5568751,7465908,3843750
264,0.806367,9275076,5482933,7762622,4133478
265,0.770198,9385966,5556536,7448957,3860087
266,0.780872,9414297,5591387,7525662,3878458
268,0.837083,9001451,5095987,8369937,4509815
269,0.799802,9274593,5486596,7776143,4151262
270,0.768152,9364730,5533287,7490134,3908405
271,0.769639,9151917,5371752,7182093,3692448
272,0.892042,9777769,5669738,8244407,4347239
273,0.827014,9271393,5483697,7773675,4153348
274,0.775988,9150102,5372105,7183285,3695890
275,0.89818,9774373,5668766,8240600,4345803
276,0.639457,10363548,5295896,6368787,1902113
277,0.752327,9390398,5569196,7405620,3827978
278,0.787518,9363574,5569323,7506147,3887181
279,0.33831,8211011,4929570,6539774,3350698
280,0.827038,9149186,5387904,6724442,3418530
281,1.09282,9678043,5204788,7264518,2926021
282,0.77872,9142405,5364485,7196771,3714005
283,0.938928,9230672,3863389,7529611,2296557
284,0.811981,9156272,5396068,6761333,3445614
285,0.768227,9393745,5557990,7452914,3855867
286,0.78301,9139113,5365452,7153829,3676032
287,0.675934,10396988,4893304,7539656,2245177
288,0.836236,9001309,5095061,8369303,4508340
289,0.819449,9155654,5392446,6743817,3433181
290,0.770014,9148997,5372005,7191400,3704260
