Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.868959,9778569,5668845,8595118,4633079
2,0.877044,8251396,4740063,7844354,4375901
3,0.335195,8199942,4922435,6749361,3533989
4,0.743739,9382640,5550515,7607991,4013983
5,0.757746,9147952,5371752,7408926,3902609
6,0.795108,9276736,5482412,7973629,4329763
7,0.842991,9782632,5658337,8598067,4622215
8,0.754298,9349225,5555158,7674225,4049372
9,1.03183,9675824,5204490,7913681,3552412
10,0.335888,8202415,4924478,6748155,3533062
11,0.755686,9357894,5533760,7671199,4076874
12,0.825731,9305994,4050065,7853314,2721714
13,0.760797,9154132,5376202,7421064,3910939
14,0.742043,9399392,5572630,7569623,3970771
15,0.768298,9148043,5369577,7398773,3892422
16,0.916055,9220788,3848361,7946446,2694189
17,0.758216,9145262,5369037,7401425,3900700
18,0.816566,9161005,5395827,6983192,3638859
19,0.766145,9139125,5364421,7389585,3889422
20,0.877956,9776203,5669202,8588465,4630440
21,0.857115,9316126,4099744,7835241,2748012
22,0.789401,9274993,5486950,7980071,4345590
23,0.779971,9360640,5566436,7685198,4059608
24,0.755522,9361966,5536214,7652516,4054484
25,0.754151,9383448,5586811,7704412,4065374
26,0.806961,9154635,5394882,6986539,3645111
27,0.767641,9147241,5369913,7399352,3893508
28,0.766783,9361339,5571448,7704882,4075393
29,0.810546,9169144,5406794,6995416,3650472
30,0.784687,9272950,5486721,7977849,4341172
31,0.769064,9360646,5565530,7693743,4061647
32,0.869378,9301770,4077800,7823900,2728561
33,0.772816,9274407,5484358,7980578,4339976
34,0.816013,8995541,5092037,8536907,4666622
35,0.782186,9393216,5584417,7732994,4082758
36,0.775125,9360860,5570170,7695821,4068645
37,0.782633,9275385,5486244,7984533,4344545
38,0.758162,9161015,5383307,7378957,3869414
39,0.746438,9336644,5511156,7740082,4138545
40,0.799381,9158260,5398225,6999497,3654666
41,0.863321,9293366,3979341,7881072,2689079
42,0.776856,9274833,5485717,7979404,4339983
43,1.03441,9680104,5206202,7919662,3555853
44,0.907158,9196552,3869401,7895819,2687731
45,0.90091,9190423,3842585,7909905,2680943
47,0.806074,9163452,5400628,7011898,3662986
48,0.859272,9289488,3978578,7879962,2691557
49,0.779098,9274569,5487639,7983481,4345732
50,0.763182,9371045,5576656,7718232,4080142
51,0.819504,9001050,5095257,8530906,4660482
52,0.750376,9370672,5544355,7632808,4034294
53,0.760404,9360060,5571127,7704743,4075413
54,0.732617,9380924,5559300,7586203,4000921
55,0.802512,9164610,5399900,7009038,3660171
56,0.904238,9206094,3908307,7870142,2691274
57,0.785577,9273837,5486698,7982892,4344853
58,0.328593,8259000,4922422,6727905,3481866
59,0.769898,9358858,5565774,7691924,4062937
60,0.792025,9273465,5486179,7982954,4344759
61,0.874734,9276141,4021017,7824484,2698082
62,0.807998,9156646,5393906,6979013,3639779
63,0.787504,9273552,5484878,7973042,4334215
64,0.335419,8195450,4920805,6754525,3542549
65,1.04965,9685761,5206789,7915983,3547622
66,0.793273,9268805,5480076,7976396,4337108
67,0.765553,9141046,5367407,7367484,3869859
68,0.817319,8993902,5087801,8535437,4662508
69,0.335766,8200585,4923636,6748751,3534956
70,0.813649,9155127,5395954,6995538,3653147
71,0.756153,9365871,5571097,7705205,4071623
72,0.920709,8582077,3598157,6818369,2001899
73,0.648798,10493429,5110369,7966174,2804878
74,0.766856,9144867,5366342,7390923,3886175
75,0.815845,9160495,5396787,6979452,3639834
76,0.847062,9752397,5653320,8583694,4630208
77,0.760671,9154103,5376867,7425631,3914425
78,0.336121,8191865,4918867,6750343,3539591
79,0.800147,9159540,5396161,6988063,3645468
80,0.821206,9001293,5094939,8533600,4662494
81,0.744895,9319951,5490966,7742542,4147204
82,0.765054,9143538,5365913,7379688,3878469
83,0.770435,9371876,5577968,7684453,4052193
84,0.749165,9393673,5568271,7583970,3983261
85,0.837044,9261309,3990897,7860436,2711372
86,0.822452,9001019,5093476,8536166,4663269
87,0.738268,9356769,5529723,7723212,4120609
88,0.820047,8996093,5088809,8538290,4664062
89,0.771494,9376840,5578412,7698195,4058379
90,0.780187,9275471,5485277,7984982,4343966
91,0.72649,9413179,5584405,7586837,3980684
92,0.769235,9143631,5368262,7388250,3886888
93,0.335594,8187897,4916632,6741313,3532161
94,0.88081,9778084,5670425,8594322,4634802
95,0.74892,9371780,5550264,7585674,3999775
96,0.744876,9381496,5559451,7626367,4030320
97,0.741408,9735445,5652894,8574320,4636456
98,0.775931,9376304,5576341,7681142,4042220
99,0.797369,9275865,5483831,7979363,4336951
100,1.04748,9682556,5205218,7919956,3552910
101,0.75985,9338302,5506600,7715165,4116466
102,0.762619,9155274,5376917,7424503,3912372
103,1.03276,9675224,5204809,7913216,3552857
104,0.819419,9002552,5095714,8533080,4661565
105,0.92345,9237530,3879450,7939159,2701951
106,0.76714,9146781,5368546,7395127,3890277
107,0.799595,9165035,5401906,7008058,3660525
109,0.764984,9142682,5367032,7388966,3891492
110,0.808267,9157253,5395275,6988949,3647873
111,0.890102,9180146,3827885,7861641,2633999
112,0.775277,9366065,5567601,7660273,4028255
113,0.751014,9321552,5498308,7704623,4114551
114,0.745444,9359410,5529705,7650524,4054861
115,0.768949,9149592,5370548,7402313,3894160
116,0.794454,9166304,5402768,7017689,3666958
117,0.782002,9271647,5486188,7980369,4343898
118,0.785196,9271856,5481694,7984248,4343212
119,0.874029,9773415,5668381,8593475,4637438
120,0.912918,9238882,3878859,7927898,2689754
121,1.04677,9689780,5209109,7914979,3545180
122,0.764558,9161657,5382913,7421953,3907807
123,0.80266,9161383,5401149,7009312,3662862
124,0.766249,9359669,5567259,7691027,4061966
125,0.767228,9358889,5569092,7700333,4072402
126,0.81707,9146082,5385752,6951075,3619101
127,0.821099,9003175,5096748,8533050,4662058
128,0.870275,9287512,4035838,7844631,2719595
129,0.786473,9275179,5485997,7985919,4345783
130,0.747178,9333509,5503975,7722663,4125139
131,0.906925,9193181,3842189,7877879,2650828
132,0.925037,8513372,3480616,6751495,1887322
133,0.910051,9209523,3903623,7883337,2696183
134,0.780105,9357954,5564245,7685904,4058528
135,0.735126,9320046,5493791,7751607,4160782
136,0.803441,9156252,5393150,6987744,3644134
137,0.913535,8518930,3457918,6772950,1880109
138,0.795824,9273000,5487131,7981359,4344427
139,0.798359,9274264,5485348,7978136,4338431
140,0.774471,9353845,5563047,7683872,4058714
141,1.05623,9687980,5208343,7923744,3554618
142,0.783414,9361014,5564620,7704406,4068744
143,1.06977,9699383,5210873,7925196,3547890
144,0.781066,9412334,5590638,7738113,4073958
145,0.784637,9274465,5484583,7980799,4340157
146,0.791421,9275136,5483705,7977350,4335541
147,0.820791,9622972,4195626,8010031,2721676
148,0.761668,9379245,5575788,7713693,4071362
149,0.760869,9172339,5393294,7388290,3874233
150,0.734214,9418171,5587778,7588852,3979553
151,0.913164,9213412,3897986,7871165,2679041
152,0.825682,9151621,5370780,6943303,3563754
153,0.783647,9274387,5483236,7979473,4337924
154,0.847964,8504926,5042798,8137742,4731493
155,0.315368,8411645,4889385,6453962,3158871
156,0.745244,9360030,5568344,7691869,4068122
157,0.787789,9275296,5485881,7975659,4340004
158,0.730566,9326240,5499984,7722864,4127628
159,0.748853,9370291,5573409,7676182,4045024
160,0.930198,8526373,3429909,6787699,1855740
161,0.802928,9158387,5396569,6996493,3651729
162,0.917826,9220232,3849241,7938021,2687993
163,0.764748,9151693,5373365,7411634,3902255
164,0.821601,9002384,5094929,8535299,4662850
165,0.805834,9163349,5400238,7005373,3654784
166,0.782962,9274893,5484681,7979400,4338833
168,0.7763,9359049,5566562,7692967,4065421
169,0.74592,9342051,5513377,7708848,4114164
170,0.770492,9142364,5365162,7381185,3879488
171,0.909326,9185286,3822655,7890651,2651407
172,0.33749,8208993,4928413,6755843,3538565
173,0.757662,9147634,5370535,7407806,3904451
174,0.335623,8201357,4925597,6750619,3538748
175,1.04857,9695981,5211669,7921179,3548041
176,0.809762,9159353,5397462,6990133,3647585
