Trace,IPC,Loads,Stores,Load Misses,Store Misses
1,0.918092,9778574,5668847,7971749,4100770
2,0.913464,8251388,4740059,7397490,3977380
3,0.341014,8199937,4922432,6229776,3073913
4,0.769748,9382645,5550518,7206475,3648771
5,0.778693,9147952,5371752,6973049,3510092
6,0.833158,9276738,5482413,7551976,3936961
7,0.898575,9782626,5658331,7973462,4090077
8,0.790868,9349220,5555153,7272851,3679180
9,1.13905,9675820,5204488,6419591,2134909
10,0.341895,8202415,4924478,6227399,3071862
11,0.782003,9357890,5533756,7262198,3703225
12,0.845578,9305992,4050065,7203096,2109352
13,0.780264,9154129,5376200,6985977,3519509
14,0.765452,9399392,5572630,7172640,3608010
15,0.791412,9148036,5369572,6961049,3498213
16,0.946063,9220788,3848361,7233650,2029291
17,0.777707,9145244,5369028,6966100,3509117
18,0.841042,9161005,5395827,6542035,3243785
19,0.790333,9139104,5364404,6952202,3495717
20,0.924812,9776202,5669201,7965820,4098861
21,0.878102,9316126,4099744,7146852,2116961
22,0.81812,9275006,5486959,7564388,3960430
23,0.810078,9360633,5566429,7279793,3685283
24,0.77255,9361966,5536214,7253488,3690042
25,0.779838,9383452,5586815,7309861,3701863
26,0.836323,9154638,5394884,6546470,3250867
27,0.793975,9147240,5369912,6963477,3500672
28,0.793782,9361337,5571447,7302374,3703876
29,0.837677,9169176,5406809,6519513,3224060
30,0.812554,9272958,5486725,7563044,3955726
31,0.789282,9360676,5565544,7293573,3692802
32,0.894314,9301788,4077810,7121002,2084555
33,0.809731,9274415,5484364,7561640,3950707
34,0.852315,8995540,5092037,8207512,4357779
35,0.804326,9393216,5584417,7332889,3713302
36,0.795231,9360864,5570172,7295761,3699672
37,0.818428,9275377,5486238,7568514,3959041
38,0.77679,9161000,5383297,6946573,3479352
39,0.764341,9336646,5511158,7328799,3762577
40,0.82662,9158266,5398231,6560043,3260896
41,0.885967,9293397,3979354,7222689,2066932
42,0.815537,9274829,5485714,7561964,3952192
43,1.14173,9680126,5206224,6412497,2137979
44,0.935584,9196543,3869400,7212402,2055643
45,0.928996,9190424,3842586,7231994,2054147
47,0.829606,9163458,5400629,6574993,3270935
48,0.8839,9289516,3978593,7226255,2074558
49,0.811481,9274568,5487638,7566812,3959295
50,0.787038,9371044,5576655,7315277,3707509
51,0.855419,9001049,5095256,8199934,4349613
52,0.769933,9370670,5544353,7228976,3665819
53,0.78437,9360068,5571129,7303900,3704960
54,0.761278,9380924,5559300,7186770,3635892
55,0.823679,9164617,5399903,6571459,3267738
56,0.9339,9206093,3908306,7175405,2047451
57,0.808092,9273829,5486695,7566230,3958378
58,0.334146,8259001,4922424,6198231,3012625
59,0.799632,9358859,5565775,7288986,3691006
60,0.816926,9273464,5486178,7568858,3961205
61,0.89864,9276175,4021030,7128767,2060275
62,0.836611,9156645,5393905,6538989,3245627
63,0.821178,9273550,5484878,7557216,3947001
64,0.341039,8195436,4920796,6234158,3081628
65,1.16027,9685828,5206819,6424204,2122394
66,0.836692,9268786,5480064,7559687,3949349
